"L01","L02","L03","L04","L05","L06","L07","L08","L09","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28"
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"1.0","0.996","0.999","0.995","1.0","1.0","0.935","1.0","0.986","1.002","0.999","1.0","0.974","1.0","0.992","1.0","1.005","0.998","0.966","1.0","0.96","1.0","0.983","1.0","0.977","1.0","0.941","0.995"
